code|mean|std|n_pos|total
24588|1.0|0.0|15|165
57992|1.0|0.0|19|209
303842|1.0|0.0|98|1078
303644|1.0|0.0|8|88
611517|1.0|0.0|93|1023
151522|1.0|0.0|10|110
303503|1.0|0.0|10|110
30346|1.0|0.0|9|99
30262|1.0|0.0|5|55
30247|1.0|0.0|15|165
302398|1.0|0.0|7|77
149799|1.0|0.0|23|253
149575|1.0|0.0|12|132
632117|1.0|0.0|5|55
29918|1.0|0.0|23|253
24729|1.0|0.0|17|187
15586|1.0|0.0|5|55
57976|1.0|0.0|15|165
305250|1.0|0.0|23|253
57927|1.0|0.0|17|187
17830|1.0|0.0|7|77
326249|1.0|0.0|7|77
223222|1.0|0.0|12|132
519132|1.0|0.0|15|165
223271|1.0|0.0|5|55
51938|1.0|0.0|7|77
51953|1.0|0.0|15|165
22368|1.0|0.0|24|264
52217|1.0|0.0|11|121
17442|1.0|0.0|80|880
22764|1.0|0.0|131|1441
22848|1.0|0.0|6|66
172841|1.0|0.0|19|209
23366|1.0|0.0|28|308
31419|1.0|0.0|16|176
542183|1.0|0.0|38|418
544346|1.0|0.0|5|55
23457|1.0|0.0|169|1859
169334|1.0|0.0|5|55
312082|1.0|0.0|5|55
312017|1.0|0.0|27|297
311472|1.0|0.0|32|352
568881|1.0|0.0|55|605
57679|1.0|0.0|15|165
30916|1.0|0.0|85|935
30841|1.0|0.0|61|671
57786|1.0|0.0|12|132
30741|1.0|0.0|5|55
237610|1.0|0.0|9|99
64634|1.0|0.0|5|55
264788|1.0|0.0|123|1353
